candidate loss,validation loss, cme training, cme validation
0.09965666,0.10444905,0.10190763,0.106451206
0.10058905,0.09739428,0.10319002,0.09828384
0.10090787,0.10224247,0.10153698,0.10166795
0.1056325,0.0971818,0.10720462,0.09802788
0.100850135,0.10200751,0.101747476,0.10375317
0.09477034,0.1263496,0.09769197,0.12712412
0.11074002,0.090979256,0.111398466,0.08971138
0.10223716,0.10148952,0.10496115,0.107337765
0.1068131,0.08330489,0.1088029,0.086904034
0.10335028,0.09685129,0.10435374,0.099650435
0.10006133,0.10399957,0.10109463,0.1010092
0.10076989,0.090696886,0.10500711,0.09627734
0.10054528,0.09706882,0.101777755,0.09955654
0.103398964,0.0978468,0.10661039,0.09880068
0.10282878,0.107464775,0.10239487,0.1027426
0.10497004,0.10063973,0.107658006,0.10145754
0.09550266,0.11955577,0.09710883,0.12159358
0.100034356,0.102936715,0.102551356,0.10278395
0.10027358,0.09998545,0.10291327,0.09850177
0.10315801,0.098363504,0.10608647,0.09959193
0.10023694,0.11281818,0.10120568,0.11180329
0.10466817,0.08748926,0.10786259,0.0917171
0.09706048,0.0972199,0.100006245,0.100841224
0.10246265,0.10485327,0.10808042,0.11184138
0.098546565,0.115651906,0.10026395,0.115267485
0.10317224,0.10537353,0.10483848,0.107283875
0.10119951,0.10970473,0.10327037,0.112682395
0.1030979,0.10663085,0.1045367,0.10798977
0.10054915,0.09392269,0.102662414,0.0954945
0.10472475,0.11025269,0.105073944,0.10731564
0.101760279,0.10215749,0.103793281,0.103448786
